start	end	text
0	5420	아멘! 우리 이 시간 다같이 자리에 일어나서 그 은혜를 기쁘게 예배합시다
5420	16040	이 시간 우리를 깨끗게 하시는 그 보혈을 의지하며 기쁘게 예배하며 나아갑시다
16040	17780	예수!
17780	25240	예수 십자가를 흘린 비로소 그대는 씻기여 있는가
25240	32320	더러운 죄 희게 하는 능력을 그대는 참지하는가
32320	32800	예수!
32800	39940	예수 십자가를 흘린 비로소 그대는 씻기여 있는가
39940	46800	더러운 죄 희게 하는 능력을 그대는 참지하는가
46800	48140	예수의 보혈로
48140	55180	예수의 보혈로 그대는 씻기여 있는가
55180	61520	마음속에 여러가지 죄악이 깨끗이 씻기여 있는가
61520	62080	아멘!
62080	63080	예수!
69320	72260	우리 더 기쁘게 예배하며 나아갑시다
72260	74560	예수와 반대지로
74560	82180	주님과 반대지로 늘 함께 그대는 행동을 하는가
82180	84240	주님과 함께 동행하고 계십니까
84240	85080	언제나 어디서든지
85180	89360	선한 그대는 십자가를 흘려 있는가
89360	90360	주님 예수!
90360	97220	주님 예수 다시 올 때 그대는 영접할 대복이 있는가
97220	104020	그대 몸은 거룩한 것 천국에 들어갈 준비가 됐는가
104020	112400	예수의 보혈로 그대는 씻기여 있는가
112400	113360	마음속에 여러가지 죄악이 깨끗이 씻기여 있는가
113360	115160	마음속에 여러가지 죄악이 깨끗이 씻기여 있는가
115180	119360	예수의 보혈로
119360	127180	예수의 보혈로 그대는 씻기여 있는가
127180	134560	마음속에 여러가지 죄악이 깨끗이 씻기여 있는가
134560	141340	우리 죄의 더러워진 예복을 주 앞에 지금 다 벗어서
141340	145160	샘물같이 솟아나는 보혈을
145180	148520	눈보다 더이게 씻으라
148520	156720	예수의 보혈로 그대는 씻기여 있는가
156720	162460	마음속에 여러가지 죄악이 깨끗이 씻기여 있는가
162460	163460	한번만 더 고백합시다
163460	171360	예수의 보혈로 그대는 씻기여 있는가
171360	174180	마음속에 여러가지 죄악이 깨끗이 씻기여 있는가
174180	174200	예수의 보혈로 그대는 씻기여 있는가
174200	186100	예수의 보혈로 그대는 씻기여 있는가
186100	192720	마음속에 여러가지 죄가기 때문에 씻기여 있는가
192720	200480	예수의 보혈로 그대는 씻기여 있는가
200480	208640	마음속에 여러가지 죄가기 때문에 씻기여 있는가
208640	220200	우리를 새롭게 하신 그대를 기뻐하며 예배합시다
220200	222640	구주의 십자가 보혈로
222640	230200	구주의 십자가 보혈로 죄 씻은 밤길을 원하며
230480	236160	내 죄를 씻으신 주 이름 찬송합시다
236160	245780	구주의 십자가 보혈로 죄 씻은 밤길을 원하며
245780	251880	내 죄를 씻으신 주 이름 찬송합시다
251880	259420	찬송합시다 찬송합시다
260480	266420	내 죄를 씻으신 주 이름 찬송합시다
266420	270480	찬송합시다 찬송합시다
270480	274080	찬송합시다
274080	281740	내 죄를 씻으신 주 이름 찬송합시다
281740	290140	죄악을 속하여 주신 주 내 속에 들어와 계시네
290140	290460	찬송합시다
290460	295120	십자가 앞에서 주 이름 찬송합시다
295120	296960	우리 3절 가사로 고백해볼까요?
297100	297600	주 앞에
297600	304900	주 앞에 흐르는 생명수 날 시선 전하게 하시네
304900	310940	내 깊은 정성을 다하여 찬송합시다
310940	318700	찬송합시다 찬송합시다
318700	319440	찬송합시다
319440	320440	찬송합시다
320460	323600	내 죄를 씻으신 주 이름 찬송합시다
323600	327060	찬송합시다 찬송합시다
327060	332920	찬송합시다 찬송합시다
332920	340300	내 죄를 씻으신 주 이름 찬송합시다
340300	345120	찬송합시다 찬송합시다
345120	348180	찬송합시다
348180	349520	찬송합시다 내 죄를 씻으신 주 이름 찬송합시다
349520	349740	찬송합시다 찬송합시다
349740	350220	찬송합시다
350220	350380	찬송합시다
350380	350440	찬송합시다
350440	356340	씻으신 주님을 찬송합시다
356340	358020	아멘
358020	361860	주님께서 우리의 모든 삶을 새롭게 하셨습니다
361860	363300	아멘
